ID,Title,URL,Raw Release Date,Releases Date
11,Nghị quyết 393/NQ-CP năm 2025 về dự án Luật Viên chức (sửa đổi) do Chính phủ ban hành,https://thuvienphapluat.vn/van-ban/Bo-may-hanh-chinh/Nghi-quyet-393-NQ-CP-2025-du-an-Luat-Vien-chuc-sua-doi-682799.aspx,Ban hành: 02/12/2025,02/12/2025
12,"Nghị quyết 385/NQ-CP năm 2025 về ký Hiệp định vận chuyển hàng không giữa các Quốc gia thành viên Hiệp hội các quốc gia Đông Nam Á và New Zealand và Nghị định thư 1 của Hiệp định vận chuyển hàng không giữa các Quốc gia thành viên Hiệp hội các Quốc gia Đông Nam Á và New Zealand về các quyền vận chuyển 3, 4 và 5 giữa các Bên do Chính phủ ban hành",https://thuvienphapluat.vn/van-ban/Giao-thong-Van-tai/Nghi-quyet-385-NQ-CP-2025-ky-Hiep-dinh-van-chuyen-hang-khong-Hiep-hoi-Dong-Nam-A-682944.aspx,Ban hành: 01/12/2025,01/12/2025
13,"Nghị quyết 388/NQ-CP năm 2025 nghiên cứu tiếp thu, giải trình kết luận của Đại biểu Quốc hội tại Tổ và Hội trường; ý kiến thẩm tra của Ủy ban Kinh tế và Tài chính của Quốc hội về dự án Luật Bảo hiểm tiền gửi (sửa đổi) do Chính phủ ban hành",https://thuvienphapluat.vn/van-ban/Bao-hiem/Nghi-quyet-388-NQ-CP-2025-giai-trinh-ket-luan-cua-Dai-bieu-Quoc-hoi-ve-Luat-Bao-hiem-tien-gui-sua-doi-682941.aspx,Ban hành: 01/12/2025,01/12/2025
14,"Nghị quyết 386/NQ-CP năm 2025 tiếp thu, giải trình dự án Luật Thuế thu nhập cá nhân (sửa đổi) do Chính phủ ban hành",https://thuvienphapluat.vn/van-ban/Thue-Phi-Le-Phi/Nghi-quyet-386-NQ-CP-2025-giai-trinh-du-an-Luat-Thue-thu-nhap-ca-nhan-sua-doi-682940.aspx,Ban hành: 01/12/2025,01/12/2025
15,Nghị quyết 08/2025/NQ-CP cho phép người Việt Nam đủ điều kiện vào chơi casino tại một số dự án kinh doanh casino do Chính phủ ban hành,https://thuvienphapluat.vn/van-ban/Thuong-mai/Nghi-quyet-08-2025-NQ-CP-cho-phep-nguoi-Viet-Nam-du-dieu-kien-vao-choi-casino-tai-mot-so-du-an-682200.aspx,Ban hành: 26/11/2025,26/11/2025
16,"Nghị quyết 66.8/2025/NQ-CP tách nội dung bồi thường, hỗ trợ, tái định cư thuộc dự án điện hạt nhân đã được Quốc hội quyết định chủ trương đầu tư thành dự án độc lập do Chính phủ ban hành",https://thuvienphapluat.vn/van-ban/Dau-tu/Nghi-quyet-66-8-2025-NQ-CP-tach-noi-dung-boi-thuong-du-an-dien-hat-nhan-thanh-du-an-doc-lap-682253.aspx,Ban hành: 26/11/2025,26/11/2025
17,"Nghị quyết 380/NQ-CP năm 2025 về các giải pháp khắc phục hậu quả thiên tai, phục hồi sản xuất tại các địa phương khu vực miền Trung do Chính phủ ban hành",https://thuvienphapluat.vn/van-ban/Tai-nguyen-Moi-truong/Nghi-quyet-380-NQ-CP-2025-giai-phap-khac-phuc-hau-qua-thien-tai-cac-dia-phuong-mien-Trung-682054.aspx,Ban hành: 25/11/2025,25/11/2025
18,Nghị quyết 377/NQ-CP năm 2025 về dự án Pháp lệnh Cảnh sát môi trường sửa đổi do Chính phủ ban hành,https://thuvienphapluat.vn/van-ban/Bo-may-hanh-chinh/Nghi-quyet-377-NQ-CP-2025-du-an-Phap-lenh-Canh-sat-moi-truong-sua-doi-681809.aspx,Ban hành: 21/11/2025,21/11/2025
19,"Nghị quyết 375/NQ-CP năm 2025 dự thảo Nghị quyết sửa đổi Nghị quyết 136/2024/QH15 về tổ chức chính quyền đô thị và thí điểm cơ chế, chính sách đặc thù phát triển Thành phố Đà Nẵng do Chính phủ ban hành",https://thuvienphapluat.vn/van-ban/Bo-may-hanh-chinh/Nghi-quyet-375-NQ-CP-2025-du-thao-Nghi-quyet-sua-doi-Nghi-quyet-136-2024-QH15-681639.aspx,Ban hành: 20/11/2025,20/11/2025
20,"Nghị quyết 66.7/2025/NQ-CP quy định cắt giảm, đơn giản hóa thủ tục hành chính dựa trên dữ liệu do Chính phủ ban hành",https://thuvienphapluat.vn/van-ban/Cong-nghe-thong-tin/Nghi-quyet-66-7-2025-NQ-CP-cat-giam-don-gian-hoa-thu-tuc-hanh-chinh-dua-tren-du-lieu-681135.aspx,Ban hành: 15/11/2025,15/11/2025
21,"Nghị quyết 368/NQ-CP năm 2025 dự thảo Nghị quyết sửa đổi Nghị quyết 98/2023/QH15 về thí điểm cơ chế, chính sách đặc thù phát triển Thành phố Hồ Chí Minh do Chính phủ ban hành",https://thuvienphapluat.vn/van-ban/Bo-may-hanh-chinh/Nghi-quyet-368-NQ-CP-2025-du-thao-Nghi-quyet-sua-doi-Nghi-quyet-98-2023-QH15-680775.aspx,Ban hành: 14/11/2025,14/11/2025
22,"Nghị quyết 369/NQ-CP năm 2025 thông qua Báo cáo đề xuất chủ trương đầu tư Chương trình mục tiêu quốc gia hiện đại hóa, nâng cao chất lượng giáo dục và đào tạo giai đoạn 2026-2035 do Chính phủ ban hành",https://thuvienphapluat.vn/van-ban/Giao-duc/Nghi-quyet-369-NQ-CP-2025-Bao-cao-de-xuat-chu-truong-dau-tu-Chuong-trinh-muc-tieu-quoc-gia-hien-dai-hoa-680774.aspx,Ban hành: 14/11/2025,14/11/2025
23,Nghị quyết 246/2025/QH15 về phân bổ ngân sách trung ương năm 2026 do Quốc hội ban hành,https://thuvienphapluat.vn/van-ban/Tai-chinh-nha-nuoc/Nghi-quyet-246-2025-QH15-phan-bo-ngan-sach-trung-uong-nam-2026-681807.aspx,Ban hành: 14/11/2025,14/11/2025
24,Nghị quyết 244/2025/QH15 về Kế hoạch phát triển kinh tế - xã hội năm 2026 do Quốc hội ban hành,https://thuvienphapluat.vn/van-ban/Thuong-mai/Nghi-quyet-244-2025-QH15-Ke-hoach-phat-trien-kinh-te-xa-hoi-nam-2026-682478.aspx,Ban hành: 13/11/2025,13/11/2025
25,Nghị quyết 367/NQ-CP đề nghị bổ sung dự án Pháp lệnh Hợp nhất văn bản quy phạm pháp luật sửa đổi vào Chương trình lập pháp năm 2025 của Quốc hội do Chính phủ ban hành,https://thuvienphapluat.vn/van-ban/Bo-may-hanh-chinh/Nghi-quyet-367-NQ-CP-2025-bo-sung-du-an-Phap-lenh-Hop-nhat-van-ban-quy-pham-phap-luat-680777.aspx,Ban hành: 13/11/2025,13/11/2025
26,Nghị quyết 245/2025/QH15 về dự toán ngân sách nhà nước năm 2026 do Quốc hội ban hành,https://thuvienphapluat.vn/van-ban/Tai-chinh-nha-nuoc/Nghi-quyet-245-2025-QH15-du-toan-ngan-sach-nha-nuoc-nam-2026-681806.aspx,Ban hành: 13/11/2025,13/11/2025
27,Nghị quyết 366/NQ-CP về Phiên họp Chính phủ thường kỳ tháng 10 năm 2025,https://thuvienphapluat.vn/van-ban/Bo-may-hanh-chinh/Nghi-quyet-366-NQ-CP-2025-Phien-hop-Chinh-phu-thang-10-681245.aspx,Ban hành: 12/11/2025,12/11/2025
28,Nghị quyết 360/NQ-CP năm 2025 áp dụng quy định pháp luật khi thực hiện sáp nhập công ty con vào Công ty mẹ - Tập đoàn Công nghiệp Than - Khoáng sản Việt Nam do Chính phủ ban hành,https://thuvienphapluat.vn/van-ban/Doanh-nghiep/Nghi-quyet-360-NQ-CP-2025-ap-dung-phap-luat-khi-sap-nhap-cong-ty-con-Tap-doan-Cong-nghiep-Than-Viet-Nam-680349.aspx,Ban hành: 10/11/2025,10/11/2025
29,"Nghị quyết 1891/NQ-UBTVQH15 năm 2025 dự kiến số lượng, cơ cấu, thành phần đại biểu Quốc hội khóa XVI do Ủy ban Thường vụ Quốc hội ban hành",https://thuvienphapluat.vn/van-ban/Bo-may-hanh-chinh/Nghi-quyet-1891-NQ-UBTVQH15-2025-du-kien-so-luong-co-cau-thanh-phan-dai-bieu-Quoc-hoi-khoa-XVI-680346.aspx,Ban hành: 10/11/2025,10/11/2025
30,Nghị quyết 352/NQ-CP năm 2025 về dự án Luật Thương mại điện tử do Chính phủ ban hành,https://thuvienphapluat.vn/van-ban/Thuong-mai/Nghi-quyet-352-NQ-CP-2025-du-an-Luat-Thuong-mai-dien-tu-679346.aspx,Ban hành: 30/10/2025,30/10/2025
31,"Nghị quyết 1880/NQ-UBTVQH15 điều chỉnh dự toán chi đầu tư phát triển ngân sách trung ương năm 2025 giữa Bộ và địa phương; phân bổ dự toán và kế hoạch đầu tư công vốn ngân sách trung ương năm 2025 tương ứng với nguồn tăng thu ngân sách trung ương năm 2022, 2023 do Ủy ban Thường vụ Quốc hội ban hành",https://thuvienphapluat.vn/van-ban/Dau-tu/Nghi-quyet-1880-NQ-UBTVQH15-2025-dieu-chinh-du-toan-chi-dau-tu-phat-trien-ngan-sach-trung-uong-680452.aspx,Ban hành: 28/10/2025,28/10/2025
32,"Nghị quyết 66.6/2025/NQ-CP quy định về xử lý khó khăn, vướng mắc trong giao quyền phê duyệt nội dung trong hoạt động dầu khí do Chính phủ ban hành",https://thuvienphapluat.vn/van-ban/Bo-may-hanh-chinh/Nghi-quyet-66-6-2025-NQ-CP-xu-ly-kho-khan-vuong-mac-giao-quyen-phe-duyet-hoat-dong-dau-khi-678927.aspx,Ban hành: 28/10/2025,28/10/2025
33,"Nghị quyết 349/NQ-CP năm 2025 về Chương trình hành động thực hiện Kết luận 166-KL/TW về nâng cao hiệu quả thực hiện Nghị quyết 25-NQ/TW về “Tăng cường sự lãnh đạo của Đảng đối với công tác thanh niên thời kỳ đẩy mạnh công nghiệp hóa, hiện đại hóa” trong tình hình mới do Chính phủ ban hành",https://thuvienphapluat.vn/van-ban/Van-hoa-Xa-hoi/Nghi-quyet-349-NQ-CP-2025-thuc-hien-Nghi-quyet-25-NQ-TW-cong-tac-thanh-nien-thoi-ky-cong-nghiep-hoa-678891.aspx,Ban hành: 27/10/2025,27/10/2025
34,"Nghị quyết 347/NQ-CP năm 2025 nhiệm vụ, giải pháp trọng tâm để khẩn trương khắc phục hậu quả thiên tai sau bão số 11, nhanh chóng ổn định tình hình đời sống nhân dân, đẩy mạnh khôi phục sản xuất kinh doanh, tích cực thúc đẩy tăng trưởng kinh tế, kiểm soát tốt lạm phát do Chính phủ ban hành",https://thuvienphapluat.vn/van-ban/Tai-nguyen-Moi-truong/Nghi-quyet-347-NQ-CP-2025-giai-phap-trong-tam-khac-phuc-hau-qua-thien-tai-sau-bao-so-11-678683.aspx,Ban hành: 24/10/2025,24/10/2025
35,Nghị quyết 346/NQ-CP năm 2025 về dự án Luật Giá sửa đổi do Chính phủ ban hành,https://thuvienphapluat.vn/van-ban/Bo-may-hanh-chinh/Nghi-quyet-346-NQ-CP-2025-du-an-Luat-Gia-sua-doi-678252.aspx,Ban hành: 23/10/2025,23/10/2025
36,Nghị quyết 343/NQ-CP năm 2025 về dự án Luật Dự trữ quốc gia (sửa đổi) do Chính phủ ban hành,https://thuvienphapluat.vn/van-ban/Bo-may-hanh-chinh/Nghi-quyet-343-NQ-CP-2025-du-an-Luat-Du-tru-quoc-gia-sua-doi-678245.aspx,Ban hành: 22/10/2025,22/10/2025
37,"Nghị quyết 339/NQ-CP năm 2025 dự thảo Nghị quyết quy định về một số cơ chế, chính sách tháo gỡ khó khăn, vướng mắc trong tổ chức thi hành Luật Đất đai do Chính phủ ban hành",https://thuvienphapluat.vn/van-ban/Bat-dong-san/Nghi-quyet-339-NQ-CP-2025-du-thao-Nghi-quyet-chinh-sach-thao-go-kho-khan-thi-hanh-Luat-Dat-dai-677732.aspx,Ban hành: 19/10/2025,19/10/2025
38,"Nghị quyết 66.5/2025/NQ-CP tháo gỡ, xử lý vướng mắc trong việc sử dụng nguồn tăng thu ngân sách trung ương năm trước bổ sung dự phòng ngân sách trung ương năm sau do Chính phủ ban hành",https://thuvienphapluat.vn/van-ban/Tai-chinh-nha-nuoc/Nghi-quyet-66-5-2025-NQ-CP-xu-ly-vuong-mac-su-dung-nguon-tang-thu-ngan-sach-trung-uong-677840.aspx,Ban hành: 18/10/2025,18/10/2025
39,Nghị quyết 336/NQ-CP năm 2025 triển khai Nghị quyết 219/2025/QH15 về chủ trương đầu tư Dự án đầu tư xây dựng đường bộ cao tốc Quy Nhơn - Pleiku do Chính phủ ban hành,https://thuvienphapluat.vn/van-ban/Dau-tu/Nghi-quyet-336-NQ-CP-2025-trien-khai-Nghi-quyet-219-2025-QH15-xay-dung-cao-toc-Quy-Nhon-Pleiku-677727.aspx,Ban hành: 18/10/2025,18/10/2025
40,"Nghị quyết 335/NQ-CP năm 2025 về tính chi phí quản lý vào giá dịch vụ khám bệnh, chữa bệnh do Chính phủ ban hành",https://thuvienphapluat.vn/van-ban/Tai-chinh-nha-nuoc/Nghi-quyet-335-NQ-CP-2025-tinh-chi-phi-quan-ly-vao-gia-dich-vu-kham-benh-678242.aspx,Ban hành: 17/10/2025,17/10/2025
41,Nghị quyết 110/2025/UBTVQH15 điều chỉnh mức giảm trừ gia cảnh của thuế thu nhập cá nhân do Ủy ban Thường vụ Quốc hội ban hành,https://thuvienphapluat.vn/van-ban/Thue-Phi-Le-Phi/Nghi-quyet-110-2025-UBTVQH15-muc-giam-tru-gia-canh-thue-thu-nhap-ca-nhan-665865.aspx,Ban hành: 17/10/2025,17/10/2025
42,"Nghị quyết 109/2025/UBTVQH15 về Mức thuế bảo vệ môi trường đối với xăng, dầu, mỡ nhờn do Ủy ban Thường vụ Quốc hội ban hành",https://thuvienphapluat.vn/van-ban/Thue-Phi-Le-Phi/Nghi-quyet-109-2025-UBTVQH15-muc-thue-bao-ve-moi-truong-doi-voi-xang-dau-680035.aspx,Ban hành: 17/10/2025,17/10/2025
43,Nghị quyết 108/2025/UBTVQH15 quy định tiêu chuẩn thành lập Ban Dân tộc của Hội đồng nhân dân cấp tỉnh do Ủy ban Thường vụ Quốc hội ban hành,https://thuvienphapluat.vn/van-ban/Bo-may-hanh-chinh/Nghi-quyet-108-2025-UBTVQH15-tieu-chuan-thanh-lap-Ban-Dan-toc-cua-Hoi-dong-nhan-dan-cap-tinh-679162.aspx,Ban hành: 17/10/2025,17/10/2025
44,"Nghị quyết 106/2025/UBTVQH15 quy định số lượng Phó Chủ tịch Hội đồng nhân dân, Phó trưởng ban của Hội đồng nhân dân cấp tỉnh, cấp xã, việc bố trí đại biểu Hội đồng nhân dân cấp tỉnh, cấp xã hoạt động chuyên trách do Ủy ban Thường vụ Quốc hội ban hành",https://thuvienphapluat.vn/van-ban/Bo-may-hanh-chinh/Nghi-quyet-106-2025-UBTVQH15-so-luong-Pho-Chu-tich-Hoi-dong-nhan-dan-cap-tinh-cap-xa-678606.aspx,Ban hành: 16/10/2025,16/10/2025
45,"Nghị quyết 107/2025/UBTVQH15 hướng dẫn việc xác định dự kiến cơ cấu, thành phần và phân bổ số lượng người được giới thiệu ứng cử đại biểu Hội đồng nhân dân các cấp nhiệm kỳ 2026-2031 do Ủy ban Thường vụ Quốc hội ban hành",https://thuvienphapluat.vn/van-ban/Bo-may-hanh-chinh/Nghi-quyet-107-2025-UBTVQH15-so-luong-duoc-gioi-thieu-ung-cu-dai-bieu-Hoi-dong-nhan-dan-2026-2031-678685.aspx,Ban hành: 16/10/2025,16/10/2025
46,"Nghị quyết 332/NQ-CP năm 2025 về số lượng cấp phó của phòng chuyên môn và tương đương, Trung tâm Phục vụ hành chính công thuộc Ủy ban nhân dân xã, phường, đặc khu thuộc tỉnh, thành phố trực thuộc trung ương do Chính phủ ban hành",https://thuvienphapluat.vn/van-ban/Bo-may-hanh-chinh/Nghi-quyet-332-NQ-CP-2025-so-luong-cap-pho-Trung-tam-Phuc-vu-hanh-chinh-cong-dac-khu-677139.aspx,Ban hành: 15/10/2025,15/10/2025
47,"Nghị quyết 328/NQ-CP năm 2025 về Chương trình hành động thực hiện Nghị quyết 70-NQ/TW về bảo đảm an ninh năng lượng quốc gia đến năm 2030, tầm nhìn đến năm 2045 do Chính phủ ban hành",https://thuvienphapluat.vn/van-ban/Tai-nguyen-Moi-truong/Nghi-quyet-328-NQ-CP-2025-thuc-hien-Nghi-quyet-70-NQ-TW-bao-dam-an-ninh-nang-luong-quoc-gia-677275.aspx,Ban hành: 13/10/2025,13/10/2025
48,"Nghị quyết 323/NQ-CP năm 2025 về dự thảo Nghị quyết của Ủy ban Thường vụ Quốc hội quy định số lượng Phó Chủ tịch Hội đồng nhân dân, Phó Trưởng ban của Hội đồng nhân dân cấp tỉnh, cấp xã và việc bố trí đại biểu Hội đồng nhân dân cấp tỉnh, cấp xã hoạt động chuyên trách do Chính phủ ban hành",https://thuvienphapluat.vn/van-ban/Bo-may-hanh-chinh/Nghi-quyet-323-NQ-CP-2025-du-thao-Nghi-quyet-quy-dinh-so-luong-Pho-Chu-tich-Hoi-dong-nhan-dan-tinh-676625.aspx,Ban hành: 12/10/2025,12/10/2025
49,"Nghị quyết 320/NQ-CP năm 2025 về dự án Luật Công nghiệp quốc phòng, an ninh và động viên công nghiệp sửa đổi do Chính phủ ban hành",https://thuvienphapluat.vn/van-ban/Bo-may-hanh-chinh/Nghi-quyet-320-NQ-CP-2025-du-an-Luat-Cong-nghiep-quoc-phong-an-ninh-sua-doi-676622.aspx,Ban hành: 09/10/2025,09/10/2025
50,"Nghị quyết 318/NQ-CP năm 2025 về Kế hoạch triển khai Nghị quyết 188/2025/QH15 thí điểm cơ chế, chính sách đặc thù, đặc biệt để phát triển hệ thống mạng lưới đường sắt đô thị tại thành phố Hà Nội, Thành phố Hồ Chí Minh do Chính phủ ban hành",https://thuvienphapluat.vn/van-ban/Giao-thong-Van-tai/Nghi-quyet-318-NQ-CP-2025-ke-hoach-trien-khai-Nghi-quyet-188-2025-QH15-676318.aspx,Ban hành: 09/10/2025,09/10/2025
51,"Nghị quyết 1857/NQ-UBTVQH15 phân bổ, điều chỉnh dự toán chi đầu tư phát triển nguồn ngân sách trung ương năm 2025 giữa các bộ, cơ quan trung ương và địa phương do Ủy ban Thường vụ Quốc hội ban hành",https://thuvienphapluat.vn/van-ban/Tai-chinh-nha-nuoc/Nghi-quyet-1857-NQ-UBTVQH15-2025-dieu-chinh-du-toan-chi-dau-tu-phat-trien-nguon-ngan-sach-trung-uong-676634.aspx,Ban hành: 08/10/2025,08/10/2025
52,Nghị quyết 316/NQ-CP về Phiên họp Chính phủ thường kỳ tháng 9 năm 2025 và Hội nghị trực tuyến Chính phủ với địa phương,https://thuvienphapluat.vn/van-ban/Bo-may-hanh-chinh/Nghi-quyet-316-NQ-CP-2025-Phien-hop-Chinh-phu-thuong-ky-thang-9-676777.aspx,Ban hành: 08/10/2025,08/10/2025
53,Nghị quyết 306/NQ-CP năm 2025 điều chỉnh Quy hoạch tổng thể quốc gia thời kỳ 2021-2030 tầm nhìn đến năm 2050 do Chính phủ ban hành,https://thuvienphapluat.vn/van-ban/Xay-dung-Do-thi/Nghi-quyet-306-NQ-CP-2025-dieu-chinh-Quy-hoach-tong-the-quoc-gia-thoi-ky-2021-2030-675650.aspx,Ban hành: 05/10/2025,05/10/2025
54,"Nghị quyết 1849/NQ-UBTVQH15 năm 2025 thành lập Ban Tổ chức Diễn đàn về xây dựng pháp luật và nhiệm vụ, quyền hạn của các thành viên do Ủy ban Thường vụ Quốc hội ban hành",https://thuvienphapluat.vn/van-ban/Bo-may-hanh-chinh/Nghi-quyet-1849-NQ-UBTVQH15-2025-thanh-lap-Ban-To-chuc-Dien-dan-ve-xay-dung-phap-luat-678474.aspx,Ban hành: 03/10/2025,03/10/2025
55,"Nghị quyết 303/NQ-CP năm 2025 về Giải pháp thực hiện hiệu quả chính quyền địa phương 2 cấp theo Kết luận của Bộ Chính trị, Ban Bí thư do Chính phủ ban hành",https://thuvienphapluat.vn/van-ban/Bo-may-hanh-chinh/Nghi-quyet-303-NQ-CP-2025-giai-phap-thuc-hien-hieu-qua-chinh-quyen-dia-phuong-2-cap-675503.aspx,Ban hành: 03/10/2025,03/10/2025
56,"Nghị quyết 04/2025/NQ-HĐTP hướng dẫn áp dụng các tình tiết giảm nhẹ trách nhiệm hình sự, các tình tiết tăng nặng trách nhiệm hình sự quy định tại Điều 51 và Điều 52 của Bộ luật Hình sự do Hội đồng Thẩm phán Tòa án nhân dân tối cao ban hành",https://thuvienphapluat.vn/van-ban/Trach-nhiem-hinh-su/Nghi-quyet-04-2025-NQ-HDTP-huong-dan-ap-dung-cac-tinh-tiet-giam-nhe-trach-nhiem-hinh-su-679023.aspx,Ban hành: 30/09/2025,30/09/2025
57,Nghị quyết 03/2025/NQ-HĐTP năm 2025 hướng dẫn áp dụng quy định về chuyển hình phạt tử hình thành tù chung thân do Hội đồng Thẩm phán Toà án nhân dân tối cao ban hành,https://thuvienphapluat.vn/van-ban/Trach-nhiem-hinh-su/Nghi-quyet-03-2025-NQ-HDTP-chuyen-hinh-phat-tu-hinh-thanh-tu-chung-than-679021.aspx,Ban hành: 30/09/2025,30/09/2025
58,Nghị quyết 05/2025/NQ-HĐTP hướng dẫn áp dụng quy định về thẩm quyền của Tòa án tại Điều 30 và Điều 31 của Luật Tố tụng hành chính do Hội đồng Thẩm phán Toà án nhân dân tối cao ban hành,https://thuvienphapluat.vn/van-ban/Vi-pham-hanh-chinh/Nghi-quyet-05-2025-NQ-HDTP-huong-dan-ap-dung-quy-dinh-ve-tham-quyen-cua-Toa-an-682002.aspx,Ban hành: 30/09/2025,30/09/2025
59,"Nghị quyết 101/2025/UBTVQH15 hướng dẫn việc tổ chức hội nghị cử tri; việc giới thiệu ứng cử đại biểu Hội đồng nhân dân cấp xã ở thôn, tổ dân phố; việc hiệp thương, giới thiệu người ứng cử, lập danh sách người ứng cử, lập danh sách người ứng cử đại biểu Quốc hội, đại biểu Hội đồng nhân dân trong bầu cử bổ sung do Ủy ban Thường vụ Quốc hội ban hành",https://thuvienphapluat.vn/van-ban/Bo-may-hanh-chinh/Nghi-quyet-101-2025-UBTVQH15-huong-dan-viec-to-chuc-hoi-nghi-cu-tri-678562.aspx,Ban hành: 26/09/2025,26/09/2025
60,"Nghị quyết 104/2025/UBTVQH15 về Quy chế làm việc mẫu của Hội đồng nhân dân xã, phường, đặc khu do Ủy ban Thường vụ Quốc hội ban hành",https://thuvienphapluat.vn/van-ban/Bo-may-hanh-chinh/Nghi-quyet-104-2025-UBTVQH15-Quy-che-lam-viec-mau-cua-Hoi-dong-nhan-dan-xa-phuong-dac-khu-677188.aspx,Ban hành: 26/09/2025,26/09/2025
61,Nghị quyết 105/2025/UBTVQH15 về Chương trình lập pháp năm 2026 do Ủy ban Thường vụ Quốc hội ban hành,https://thuvienphapluat.vn/van-ban/Bo-may-hanh-chinh/Nghi-quyet-105-2025-UBTVQH15-Chuong-trinh-lap-phap-2026-676784.aspx,Ban hành: 26/09/2025,26/09/2025
